# Source: https://data.cdc.gov/Vaccinations/COVID-19-Vaccinations-in-the-United-States-County/8xkx-amqh
Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop,Bivalent_Booster_5Plus,Bivalent_Booster_5Plus_Pop_Pct,Bivalent_Booster_12Plus,Bivalent_Booster_12Plus_Pop_Pct,Bivalent_Booster_18Plus,Bivalent_Booster_18Plus_Pop_Pct,Bivalent_Booster_65Plus,Bivalent_Booster_65Plus_Pop_Pct
02/15/2023,25019,7,Nantucket County,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,Non-metro,,,,,,,,,,,,,,,11399,10647,1618,9755,9029,1692,,,,,,,,
02/15/2023,25023,7,Plymouth County,MA,90,472368,90.6,468295,94.9,445793,95,411076,95,114934,95,392046,75.2,389628,78.9,47947,57.8,371059,82.1,341681,83.2,94127,95,223099,56.9,223019,57.2,218746,59,207583,60.8,135038,69.8,72082,76.6,73976,54.8,46436,64.4,B,7,7,8,8,8,8,Metro,3,3,4,4,4,4,8,8,8,7,4,4,4,3,521202,493643,82898,451846,410745,96933,122811,24.9,119974,26.6,115360,28.1,57187,59
02/15/2023,25001,7,Barnstable County,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,Metro,,,,,,,,,,,,,,,212990,205144,23770,193225,181374,66917,,,,,,,,
02/15/2023,25011,7,Franklin County,MA,90,66025,94.1,65427,95,62520,95,57874,95,19021,95,51812,73.8,51502,76.6,5509,60.7,49304,78.8,45993,79,15093,93.1,32525,62.8,32508,63.1,31799,64.5,30298,65.9,20476,73.2,11931,79,12766,62.3,8214,68.8,B,7,7,8,7,7,8,Non-metro,7,7,8,7,7,8,8,8,8,7,8,8,8,7,70180,67268,9072,62591,58196,16218,23192,34.5,22710,36.3,21671,37.2,10694,65.9
02/15/2023,25027,7,Worcester County,MA,90,777137,93.6,770146,95,729826,95,672001,95,164661,95,619940,74.6,615787,78.3,77799,60.2,584698,81.3,537988,81.9,130776,95,350648,56.6,350520,56.9,342763,58.6,323253,60.1,198224,69.9,100211,76.6,109731,55.4,64056,63.9,B,7,7,8,8,8,8,Metro,3,3,4,4,4,4,8,8,8,7,4,4,4,3,830622,786414,129187,719579,657227,134009,205875,26.2,200456,27.9,191419,29.1,80525,60.1
02/15/2023,25017,7,Middlesex County,MA,90,1712084,95,1684245,95,1581190,95,1460670,95,310759,95,1376766,85.4,1358479,89,185400,80.2,1273034,90.6,1173079,90.5,254593,95,851709,61.9,849797,62.6,815747,64.1,762181,65,405803,73.6,200215,78.6,250043,61.6,137524,68.7,B,8,8,8,8,8,8,Metro,4,4,4,4,4,4,8,8,8,7,4,4,4,3,1611699,1527211,231128,1404793,1296083,252286,566379,37.1,542130,38.6,511673,39.5,167486,66.4
02/15/2023,25015,7,Hampshire County,MA,90,144544,89.9,142769,91.8,136107,92.8,127092,92.3,37071,95,115936,72.1,114941,73.9,13322,74.5,109078,74.4,101619,73.8,29607,95,77053,66.5,77015,67,74374,68.2,70069,69,44056,77.7,24604,83.1,28966,65.7,17852,72.6,B,7,7,8,7,7,8,Metro,3,3,4,3,3,4,8,8,8,8,4,4,4,4,160830,155521,17884,146600,137637,28806,55634,35.8,53897,36.8,51314,37.3,22272,77.3
02/15/2023,25009,7,Essex County,MA,90,762917,95,755004,95,714912,95,657050,95,170672,95,620876,78.7,616146,82.7,81207,66.4,583061,85.6,534939,85.9,137800,95,355606,57.3,355368,57.7,346317,59.4,325842,60.9,202933,70.6,104926,76.1,112655,55.5,66935,63.8,C,11,12,12,12,12,12,Metro,3,4,4,4,4,4,12,12,12,11,4,4,4,3,789034,744724,122329,681037,622395,138529,200698,26.9,194834,28.6,185526,29.8,80290,58
02/15/2023,25003,7,Berkshire County,MA,90,101338,81.1,100316,83.7,95077,84.8,88355,84.9,30388,95,79718,63.8,79164,66.1,10076,64.2,74680,66.6,69088,66.4,23521,78.6,55082,69.1,55072,69.6,53863,72.1,51312,74.3,36044,84.6,21278,90.5,22541,62.5,14938,70.2,B,6,7,8,7,7,7,Metro,2,3,4,3,3,3,8,8,8,8,4,4,4,4,124944,119796,15700,112060,104096,29923,38796,32.4,38039,33.9,36805,35.4,19349,64.7
02/15/2023,UNK,7,Unknown County,MA,90,897488,,892849,,872453,,840479,,235567,,598317,,595900,,36382,,581239,,559518,,162054,,241990,40.4,241858,40.6,238523,41,230932,41.3,158657,50.3,97261,60,75922,47.9,52354,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163158,,160517,,156183,,73867,
