year,title
1987,Self-Organization of Associative Database and Its Applications
1987,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks
1988,Storing Covariance by the Associative Long-Term Potentiation and Depression of Synaptic Strengths in the Hippocampus
1994,Bayesian Query Construction for Neural Network Models
1994,"Neural Network Ensembles, Cross Validation, and Active Learning"
1994,Using a neural net to instantiate a deformable model
1994,Plasticity-Mediated Competitive Learning
1994,ICEG Morphology Classification using an Analogue VLSI Neural Network
1994,Real-Time Control of a Tokamak Plasma Using Neural Networks
1994,Pulsestream Synapses with Non-Volatile Analogue Amorphous-Silicon Memories
1994,Learning to Play the Game of Chess
1994,Multidimensional Scaling and Data Clustering
1994,An experimental comparison of recurrent neural networks
1988,Training Multilayer Perceptrons with the Extended Kalman Algorithm
1994,Interference in Learning Internal Models of Inverse Dynamics in Humans
1994,Active Learning with Statistical Models
1994,A Rapid Graph-based Method for Arbitrary Transformation-Invariant Pattern Classification
1994,Ocular Dominance and Patterned Lateral Connections in a Self-Organizing Model of the Primary Visual Cortex
1994,Associative Decorrelation Dynamics: A Theory of Self-Organization and Optimization in Feedback Networks
1994,A Connectionist Technique for Accelerated Textual Input: Letting a Network Do the Typing
1994,Connectionist Speaker Normalization with Generalized Resource Allocating Networks
1994,A Critical Comparison of Models for Orientation and Ocular Dominance Columns in the Striate Cortex
1994,Generalization in Reinforcement Learning: Safely Approximating the Value Function
1994,A Mixture Model System for Medical and Machine Diagnosis
1988,An Application of the Principle of Maximum Information Preservation to Linear Systems
1994,A Computational Model of Prefrontal Cortex Function
1995,The Gamma MLP for Speech Phoneme Recognition
1995,A Multiscale Attentional Framework for Relaxation Neural Networks
1995,Correlated Neuronal Response: Time Scales and Mechanisms
1995,Onset-based Sound Segmentation
1995,A model of transparent motion and non-transparent motion aftereffects
1995,A Model of Auditory Streaming
1995,REMAP: Recursive Estimation and Maximization of A Posteriori Probabilities - Application to Transition-Based Connectionist Speech Recognition
1995,Exponentially many local minima for single neurons
1995,A Practical Monte Carlo Implementation of Bayesian Learning
1988,An Adaptive Network That Learns Sequences of Transitions
1995,Neuron-MOS Temporal Winner Search Hardware for Fully-Parallel Data Processing
1995,Dynamics of Attention as Near Saddle-Node Bifurcation Behavior
1995,VLSI Model of Primate Visual Smooth Pursuit
1995,Gradient and Hamiltonian Dynamics Applied to Learning in Neural Networks
1995,Is Learning The n-th Thing Any Easier Than Learning The First?
1995,A Dynamical Model of Context Dependencies for the Vestibulo-Ocular Reflex
1995,Improved Gaussian Mixture Density Estimates Using Bayesian Penalty Terms and Network Averaging
1995,Quadratic-Type Lyapunov Functions for Competitive Neural Networks with Different Time-Scales
1995,Stable LInear Approximations to Dynamic Programming for Stochastic Control Problems with Local Transitions
1995,Context-Dependent Classes in a Hybrid Recurrent Network-HMM Speech Recognition System
1988,Digital Realisation of Self-Organising Maps
1995,Empirical Entropy Manipulation for Real-World Problems
1995,The Geometry of Eye Rotations and Listing's Law
1995,Reinforcement Learning by Probability Matching
1995,Neural Control for Nonlinear Dynamic Systems
1995,Learning with ensembles: How overfitting can be useful
1995,SEEMORE: A View-Based Approach to 3-D Object Recognition Using Multiple Visual Cues
1995,Analog VLSI Processor Implementing the Continuous Wavelet Transform
1995,Selective Attention for Handwritten Digit Recognition
1995,Gaussian Processes for Regression
1995,Modern Analytic Techniques to Solve the Dynamics of Recurrent Neural Networks
1988,Backpropagation and Its Application to Handwritten Signature Verification
1995,Family Discovery
1995,Neural Networks with Quadratic VC Dimension
1995,Learning the Structure of Similarity
1995,Reorganisation of Somatosensory Cortex after Tactile Training
1995,Implementation Issues in the Fourier Transform Algorithm
1995,Adaptive Retina with Center-Surround Receptive Field
1995,Forward-backward retraining of recurrent neural networks
1995,When is an Integrate-and-fire Neuron like a Poisson Neuron?
1995,From Isolation to Cooperation: An Alternative View of a System of Experts
1995,Boosting Decision Trees
