District,First,Last,Party,PVI,Raw PVI,Rank
AL-01,Jerry,Carl,R,R+16,R+16.47,366
AL-02,Barry,Moore,R,R+17,R+17.32,373
AL-03,Mike,Rogers,R,R+19,R+19.36,393
AL-04,Robert,Aderholt,R,R+33,R+33.24,435
AL-05,Dale,Strong,R,R+17,R+16.67,370
AL-06,Gary,Palmer,R,R+18,R+18.39,384
AL-07,Terri,Sewell,D,D+14,D+14.11,100
AK-AL,Mary,Peltola,D,R+8,R+8.02,271
AZ-01,David,Schweikert,R,R+2,R+2.01,223
AZ-02,Eli,Crane,R,R+6,R+6.35,257
AZ-03,Ruben,Gallego,D,D+24,D+24.02,42
AZ-04,Greg,Stanton,D,D+2,D+2.27,192
AZ-05,Andy,Biggs,R,R+11,R+11.11,302
AZ-06,Juan,Ciscomani,R,R+3,R+2.66,229
AZ-07,RaÃºl,Grijalva,D,D+15,D+14.98,91
AZ-08,Debbie,Lesko,R,R+10,R+9.69,289
AZ-09,Paul,Gosar,R,R+16,R+15.64,356
AR-01,Rick,Crawford,R,R+22,R+22.37,414
AR-02,French,Hill,R,R+9,R+9.03,284
AR-03,Steve,Womack,R,R+15,R+14.91,349
AR-04,Bruce,Westerman,R,R+20,R+19.55,395
CA-01,Doug,LaMalfa,R,R+12,R+12.21,312
CA-02,Jared,Huffman,D,D+23,D+23.19,48
CA-03,Kevin,Kiley,R,R+4,R+3.72,238
CA-04,Mike,Thompson,D,D+17,D+16.71,83
CA-05,Tom,McClintock,R,R+9,R+8.73,281
CA-06,Ami,Bera,D,D+7,D+7.39,147
CA-07,Doris,Matsui,D,D+17,D+17.4,80
CA-08,John,Garamendi,D,D+26,D+26.09,31
CA-09,Josh,Harder,D,D+5,D+4.58,169
CA-10,Mark,DeSaulnier,D,D+18,D+17.91,77
CA-11,Nancy,Pelosi,D,D+37,D+36.7,5
CA-12,Barbara,Lee,D,D+40,D+39.7,1
CA-13,John,Duarte,R,D+4,D+3.85,176
CA-14,Eric,Swalwell,D,D+22,D+21.7,57
CA-15,Kevin,Mullin,D,D+28,D+27.74,25
CA-16,Anna,Eshoo,D,D+26,D+25.63,35
CA-17,Ro,Khanna,D,D+23,D+23.31,47
CA-18,Zoe,Lofgren,D,D+21,D+21.38,58
CA-19,Jimmy,Panetta,D,D+18,D+18.46,72
CA-20,Kevin,McCarthy,R,R+16,R+15.59,355
CA-21,Jim,Costa,D,D+9,D+8.7,134
CA-22,David,Valadao,R,D+5,D+5.07,164
CA-23,Jay,Obernolte,R,R+8,R+7.69,267
CA-24,Salud,Carbajal,D,D+13,D+12.57,111
CA-25,Raul,Ruiz,D,D+6,D+6.18,157
CA-26,Julia,Brownley,D,D+8,D+7.96,141
CA-27,Mike,Garcia,R,D+4,D+4.05,173
CA-28,Judy,Chu,D,D+16,D+15.55,87
CA-29,Tony,Cardenas,D,D+26,D+25.79,33
CA-30,Adam,Schiff,D,D+23,D+22.67,50
CA-31,Grace,Napolitano,D,D+15,D+14.83,94
CA-32,Brad,Sherman,D,D+20,D+19.53,67
CA-33,Pete,Aguilar,D,D+12,D+11.71,118
CA-34,Jimmy,Gomez,D,D+32,D+32.46,13
CA-35,Norma,Torres,D,D+13,D+13.32,105
CA-36,Ted,Lieu,D,D+21,D+20.81,61
CA-37,Sydney,Kamlager,D,D+37,D+36.63,6
CA-38,Linda,Sanchez,D,D+14,D+14.33,98
CA-39,Mark,Takano,D,D+12,D+11.86,116
CA-40,Young,Kim,R,R+2,R+1.86,222
CA-41,Ken,Calvert,R,R+3,R+3.17,233
CA-42,Robert,Garcia,D,D+22,D+22.37,54
CA-43,Maxine,Waters,D,D+32,D+31.98,14
CA-44,Nanette,Barragan,D,D+24,D+24,43
CA-45,Michelle,Steel,R,D+2,D+2.14,193
CA-46,Lou,Correa,D,D+15,D+14.93,92
CA-47,Katie,Porter,D,D+3,D+3.28,181
CA-48,Darrell,Issa,R,R+9,R+9.33,287
CA-49,Mike,Levin,D,D+3,D+3.14,184
CA-50,Scott,Peters,D,D+14,D+14.38,96
CA-51,Sara,Jacobs,D,D+12,D+11.56,119
CA-52,Juan,Vargas,D,D+18,D+18.28,76
CO-01,Diana,DeGette,D,D+29,D+28.92,22
CO-02,Joe,Neguse,D,D+17,D+17.5,79
CO-03,Lauren,Boebert,R,R+7,R+7.06,262
CO-04,Ken,Buck,R,R+13,R+12.85,322
CO-05,Doug,Lamborn,R,R+9,R+8.94,283
CO-06,Jason,Crow,D,D+9,D+9.01,132
CO-07,Brittany,Petterson,D,D+4,D+3.89,175
CO-08,Yadera,Caraveo,D,EVEN,R+0.45,215
CT-01,John,Larson,D,D+12,D+11.75,117
CT-02,Joe,Courtney,D,D+3,D+2.86,187
CT-03,Rosa,DeLauro,D,D+7,D+7.32,149
CT-04,Jim,Himes,D,D+13,D+13.07,109
CT-05,Jahana,Hayes,D,D+3,D+2.66,189
DE-AL,Lisa,Blunt Rochester,D,D+7,D+6.74,153
FL-01,Matt,Gaetz,R,R+19,R+19.31,391
FL-02,Neal,Dunn,R,R+8,R+7.7,268
FL-03,Kat,Cammack,R,R+9,R+9.24,286
FL-04,Aaron,Bean,R,R+6,R+5.88,251
FL-05,John,Rutherford,R,R+11,R+10.86,297
FL-06,Michael,Waltz,R,R+14,R+13.98,337
FL-07,Cory,Mills,R,R+5,R+5.1,247
FL-08,Bill,Posey,R,R+11,R+11.37,305
FL-09,Darren,Soto,D,D+8,D+8.05,140
FL-10,Maxwell,Frost,D,D+14,D+14.3,99
FL-11,Daniel,Webster,R,R+8,R+8.04,272
FL-12,Gus,Bilirakis,R,R+17,R+16.58,369
FL-13,Anna,Paulina Luna,R,R+6,R+5.58,250
FL-14,Kathy,Castor,D,D+8,D+8.13,139
FL-15,Laurel,Lee,R,R+4,R+3.67,237
FL-16,Vern,Buchanan,R,R+7,R+6.99,261
FL-17,Greg,Steube,R,R+10,R+10.15,292
FL-18,Scott,Franklin,R,R+13,R+13.39,329
FL-19,Byron,Donalds,R,R+13,R+12.91,323
FL-20,Sheila,Cherfilus-McCormick,D,D+25,D+25.1,37
FL-21,Brian,Mast,R,R+7,R+6.86,259
FL-22,Lois,Frankel,D,D+7,D+7.26,150
FL-23,Jared,Moskowitz,D,D+5,D+4.81,165
FL-24,Frederica,Wilson,D,D+25,D+24.64,40
FL-25,Debbie,Wasserman Schultz,D,D+9,D+9.2,130
FL-26,Mario,Diaz-Balart,R,R+8,R+8.41,276
FL-27,Maria,Elvira Salazar,R,EVEN,D+0.15,211
FL-28,Carlos,Gimenez,R,R+2,R+2.37,227
GA-01,Buddy,Carter,R,R+9,R+9.19,285
GA-02,Sanford,Bishop,D,D+3,D+3.11,185
GA-03,Drew,Ferguson,R,R+18,R+17.99,380
GA-04,Hank,Johnson,D,D+27,D+26.63,29
GA-05,Nikema,Williams,D,D+32,D+31.65,15
GA-06,Rich,McCormick,R,R+11,R+11.08,301
GA-07,Lucy,McBath,D,D+10,D+9.64,127
GA-08,Austin,Scott,R,R+16,R+16.38,363
GA-09,Andrew,Clyde,R,R+22,R+22.26,413
GA-10,Mike,Collins,R,R+15,R+14.6,346
GA-11,Barry,Loudermilk,R,R+11,R+11.03,299
GA-12,Rick,Allen,R,R+8,R+7.52,266
GA-13,David,Scott,D,D+28,D+27.87,24
GA-14,Marjorie Taylor,Greene,R,R+22,R+21.77,408
HI-01,Ed,Case,D,D+14,D+13.6,104
HI-02,Jill,Tokuda,D,D+14,D+13.7,103
ID-01,Russ,Fulcher,R,R+22,R+22.18,412
ID-02,Mike,Simpson,R,R+15,R+14.5,344
IL-01,Jonathan,Jackson,D,D+20,D+20.38,63
IL-02,Robin,Kelly,D,D+19,D+18.75,71
IL-03,Delia,Ramirez,D,D+20,D+19.8,65
IL-04,Chuy,GarcÃ­a,D,D+22,D+22.46,52
IL-05,Mike,Quigley,D,D+18,D+18.34,74
IL-06,Sean,Casten,D,D+3,D+3.27,182
IL-07,Danny,Davis,D,D+36,D+35.72,8
IL-08,Raja,Krishnamoorthi,D,D+6,D+6,158
IL-09,Jan,Schakowsky,D,D+19,D+19.44,68
IL-10,Brad,Schneider,D,D+11,D+10.98,123
IL-11,Bill,Foster,D,D+5,D+5.3,162
IL-12,Mike,Bost,R,R+24,R+23.97,421
IL-13,Nikki,Budzinski,D,D+3,D+3.44,180
IL-14,Lauren,Underwood,D,D+4,D+3.56,179
IL-15,Mary,Miller,R,R+22,R+21.95,410
IL-16,Darin,LaHood,R,R+13,R+13.46,331
IL-17,Eric,Sorensen,D,D+2,D+1.91,196
IN-01,Frank,Mrvan,D,D+3,D+2.77,188
IN-02,Rudy,Yakym,R,R+14,R+13.95,336
IN-03,Jim,Banks,R,R+18,R+17.97,379
IN-04,Jim,Baird,R,R+18,R+17.72,376
IN-05,Victoria,Spartz,R,R+11,R+11.21,303
IN-06,Greg,Pence,R,R+19,R+19.18,389
IN-07,AndrÃ©,Carson,D,D+19,D+18.95,69
IN-08,Larry,Bucshon,R,R+19,R+19.03,388
IN-09,Erin,Houchin,R,R+16,R+16.18,361
IA-01,Mariannette,Miller-Meeks,R,R+3,R+3.49,236
IA-02,Ashley,Hinson,R,R+4,R+4.28,241
IA-03,Zach,Nunn,R,R+3,R+2.52,228
IA-04,Randy,Feenstra,R,R+16,R+15.52,354
KS-01,Tracey,Mann,R,R+18,R+17.87,378
KS-02,Jake,LaTurner,R,R+11,R+10.78,296
KS-03,Sharice,Davids,D,R+1,R+1,217
KS-04,Ron,Estes,R,R+14,R+13.99,338
KY-01,James,Comer,R,R+24,R+24.02,422
KY-02,Brett,Guthrie,R,R+21,R+21.15,402
KY-03,Morgan,McGarvey,D,D+9,D+8.6,136
KY-04,Thomas,Massie,R,R+19,R+19.33,392
KY-05,Hal,Rogers,R,R+32,R+32.24,434
KY-06,Andy,Barr,R,R+9,R+8.52,278
LA-01,Steve,Scalise,R,R+23,R+22.76,416
LA-02,Troy,Carter,D,D+25,D+24.91,38
LA-03,Clay,Higgins,R,R+21,R+21.25,405
LA-04,Mike,Johnson,R,R+14,R+14.15,340
LA-05,Julia,Letlow,R,R+17,R+16.97,371
LA-06,Garret,Graves,R,R+19,R+19.48,394
ME-01,Chellie,Pingree,D,D+9,D+8.76,133
ME-02,Jared,Golden,D,R+6,R+5.57,249
MD-01,Andy,Harris,R,R+11,R+10.6,295
MD-02,Dutch,Ruppersberger,D,D+7,D+7.47,145
MD-03,John,Sarbanes,D,D+10,D+9.62,128
MD-04,Glenn,Ivey,D,D+40,D+39.51,2
MD-05,Steny,Hoyer,D,D+15,D+15.08,90
MD-06,David,Trone,D,D+2,D+1.97,195
MD-07,Kweisi,Mfume,D,D+30,D+30.11,18
MD-08,Jamie,Raskin,D,D+29,D+29.49,21
MA-01,Richard,Neal,D,D+9,D+8.68,135
MA-02,Jim,McGovern,D,D+13,D+13.08,108
MA-03,Lori,Trahan,D,D+11,D+11.41,120
MA-04,Jake,Auchincloss,D,D+12,D+11.94,114
MA-05,Katherine,Clark,D,D+23,D+23.35,46
MA-06,Seth,Moulton,D,D+11,D+11.01,122
MA-07,Ayanna,Pressley,D,D+35,D+35,9
MA-08,Stephen,Lynch,D,D+15,D+15.25,89
MA-09,Bill,Keating,D,D+6,D+6.29,156
MI-01,Jack,Bergman,R,R+13,R+12.59,320
MI-02,John,Moolenaar,R,R+16,R+16.48,367
MI-03,Hillary,Scholten,D,D+1,D+1.28,203
MI-04,Bill,Huizenga,R,R+5,R+4.74,244
MI-05,Tim,Walberg,R,R+15,R+14.56,345
MI-06,Debbie,Dingell,D,D+11,D+10.89,124
MI-07,Elissa,Slotkin,D,R+2,R+2.12,226
MI-08,Dan,Kildee,D,R+1,R+1.07,218
MI-09,Lisa,McClain,R,R+18,R+17.54,374
MI-10,John,James,R,R+3,R+3.05,231
MI-11,Haley,Stevens,D,D+7,D+7.38,148
MI-12,Rashida,Tlaib,D,D+23,D+22.54,51
