# Originally from https://en.wikipedia.org/wiki/List_of_countries_by_population_(United_Nations)
country,un_continental_region,un_statistical_region,population_2022,population_2023
China,Asia,Eastern Asia,1425887337,1425671352
India,Asia,Southern Asia,1417173173,1428627663
United States,Americas,Northern America,338289857,339996564
Indonesia,Asia,South-eastern Asia,275501339,277534123
Pakistan,Asia,Southern Asia,235824863,240485658
Nigeria,Africa,Western Africa,218541212,223804632
Brazil,Americas,South America,215313498,216422446
Bangladesh,Asia,Southern Asia,171186373,172954319
Russia,Europe,Eastern Europe,144713314,144444359
Mexico,Americas,Central America,127504126,128455567
Japan,Asia,Eastern Asia,123951692,123294513
Ethiopia,Africa,Eastern Africa,123379925,126527060
Philippines,Asia,South-eastern Asia,115559009,117337368
Egypt,Africa,Northern Africa,110990103,112716599
DR Congo,Africa,Middle Africa,99010212,102262809
Vietnam,Asia,South-eastern Asia,98186856,98858950
Iran,Asia,Southern Asia,88550570,89172767
Turkey,Asia,Western Asia,85341241,85816199
Germany,Europe,Western Europe,83369843,83294633
Thailand,Asia,South-eastern Asia,71697030,71801279
United Kingdom,Europe,Northern Europe,67508936,67736802
Tanzania,Africa,Eastern Africa,65497748,67438106
France,Europe,Western Europe,64626628,64756584
South Africa,Africa,Southern Africa,59893886,60414495
Italy,Europe,Southern Europe,59037474,58870763
Myanmar,Asia,South-eastern Asia,54179306,54577997
Kenya,Africa,Eastern Africa,54027487,55100587
Colombia,Americas,South America,51874024,52085168
South Korea,Asia,Eastern Asia,51815810,51784059
Spain,Europe,Southern Europe,47558630,47519628
Uganda,Africa,Eastern Africa,47249585,48582334
Sudan,Africa,Northern Africa,46874204,48109006
Argentina,Americas,South America,45510318,45773884
Algeria,Africa,Northern Africa,44903225,45606481
Iraq,Asia,Western Asia,44496122,45504560
Afghanistan,Asia,Southern Asia,41128771,42239854
Poland,Europe,Eastern Europe,39857146,41026068
Ukraine,Europe,Eastern Europe,39701739,36744634
Canada,Americas,Northern America,38454327,38781292
Morocco,Africa,Northern Africa,37457971,37840044
Saudi Arabia,Asia,Western Asia,36408820,36947025
Angola,Africa,Middle Africa,35588987,36684203
Uzbekistan,Asia,Central Asia,34627653,35163944
Peru,Americas,South America,34049589,34352719
Malaysia,Asia,South-eastern Asia,33938222,34308525
